title,dept,salary,race,gender,experience,experience_level
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,3,Novice
POLICE OFFICER,Houston Police Department-HPD,50621.0,Asian,Male,6,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13,Experienced
PUBLIC WORKS MAINTENANCE SECTION CHIEF,Public Works & Engineering-PWE,53851.0,Black,Male,25,Veteran
POLICE CAPTAIN,Houston Police Department-HPD,104455.0,White,Male,33,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,7,Novice
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,9,Experienced
JAIL ATTENDANT,Houston Police Department-HPD,36317.0,Black,Female,8,Novice
DATA ENTRY OPERATOR,Houston Police Department-HPD,27893.0,Black,Male,10,Experienced
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,42266.0,Black,Male,12,Experienced
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,44970.0,Black,Female,31,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,30,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,35797.0,Black,Male,13,Experienced
DIVISION MANAGER,Houston Airport System (HAS),88003.0,White,Female,20,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,White,Male,10,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,23,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,12,Experienced
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,38189.0,Black,Female,5,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,16,Experienced
PUBLIC HEALTH NURSE IV,Health & Human Services,76246.0,Black,Female,24,Veteran
ADMINISTRATIVE ASSISTANT,Public Works & Engineering-PWE,40352.0,Hispanic,Female,25,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,22,Veteran
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Hispanic,Male,0,Novice
TECHNICAL HARDWARE ANALYST I,Public Works & Engineering-PWE,39666.0,Black,Female,0,Novice
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13,Experienced
CHIEF COMMUNICATION OFFICER,Houston Fire Department (HFD),89590.0,White,Male,38,Veteran
CUSTOMER SERVICE CLERK,Health & Human Services,30410.0,Hispanic,Female,24,Veteran
CLINIC ASSISTANT,Health & Human Services,30597.0,Black,Female,10,Experienced
EQUIPMENT OPERATOR I,Houston Airport System (HAS),27851.0,White,Male,10,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13,Experienced
CAR ATTENDANT,Houston Police Department-HPD,24960.0,Black,Female,0,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5,Novice
SENIOR ACCOUNT CLERK,Health & Human Services,34299.0,Hispanic,Female,23,Veteran
COMMUNITY LIAISON,Health & Human Services,49379.0,Black,Female,12,Experienced
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,51605.0,Black,Male,11,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,9,Experienced
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,16,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,22,Veteran
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Male,13,Experienced
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485.0,Black,Female,11,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13,Experienced
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,0,Novice
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,31470.0,Black,Female,18,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,11,Experienced
GRADUATE ENGINEER,Public Works & Engineering-PWE,63461.0,White,Male,9,Experienced
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,Asian,Female,27,Veteran
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,70780.0,Black,Female,27,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Asian,Male,23,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,15,Experienced
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,Black,Female,8,Novice
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1,Novice
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,3,Novice
CUSTOMER SERVICE CLERK,Health & Human Services,29245.0,Hispanic,Female,0,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,17,Experienced
PUBLIC WORKS MAINTENANCE MANAGER,Public Works & Engineering-PWE,83744.0,Black,Male,27,Veteran
ADMINISTRATIVE COORDINATOR,Parks & Recreation,56826.0,Black,Female,8,Novice
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,27,Veteran
LABORER,Public Works & Engineering-PWE,26104.0,Hispanic,Male,0,Novice
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,59613.0,White,Male,7,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,27,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,White,Male,2,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10,Experienced
DIVISION MANAGER,Public Works & Engineering-PWE,93089.0,White,Male,33,Veteran
CHEMIST IV,Public Works & Engineering-PWE,64432.0,Asian,Male,10,Experienced
CUSTOMER SERVICE SECTION CHIEF,Public Works & Engineering-PWE,53726.0,White,Female,8,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,31,Veteran
PLAN ANALYST,Public Works & Engineering-PWE,34029.0,White,Female,8,Novice
BREASTFEEDING PEER COUNSELOR,Health & Human Services,28600.0,Hispanic,Female,1,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,21,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,16,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,34,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Female,25,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,17,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,4,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,24,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,30992.0,Black,Male,9,Experienced
MAINTENANCE MECHANIC III,Parks & Recreation,35027.0,Black,Male,3,Novice
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Female,13,Experienced
DEPUTY ASSISTANT DIRECTOR (EX LVL),Houston Airport System (HAS),110686.0,Black,Female,5,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35,Veteran
FIELD SUPERVISOR,Public Works & Engineering-PWE,45157.0,Black,Female,20,Veteran
POLICE OFFICER,Houston Police Department-HPD,52514.0,Black,Female,10,Experienced
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2,Novice
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,Black,Male,1,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,17,Experienced
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,36130.0,Black,Male,8,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,5,Novice
CAPTAIN,Houston Fire Department (HFD),66523.0,Hispanic,Male,16,Experienced
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,Black,Male,11,Experienced
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Female,2,Novice
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,30,Veteran
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,54600.0,White,Male,7,Novice
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,37,Veteran
WATER SERVICE INSPECTOR I,Public Works & Engineering-PWE,34861.0,Black,Male,14,Experienced
MICROBIOLOGIST III,Public Works & Engineering-PWE,56992.0,Black,Female,9,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3,Novice
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Male,6,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,5,Novice
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Hispanic,Male,2,Novice
SANITARIAN I,Health & Human Services,38709.0,Hispanic,Female,1,Novice
UTILITY WORKER,Public Works & Engineering-PWE,34320.0,Black,Male,9,Experienced
JAIL ATTENDANT,Houston Police Department-HPD,35838.0,Black,Male,8,Novice
MANAGEMENT ANALYST IV,Health & Human Services,60496.0,Black,Male,10,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,9,Experienced
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90716.0,White,Male,7,Novice
PROJECT MANAGER,Public Works & Engineering-PWE,55695.0,Asian,Male,4,Novice
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13,Experienced
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Female,11,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,15,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,30,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Female,14,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Female,21,Veteran
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,40851.0,Black,Female,25,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,18,Experienced
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,18,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,9,Experienced
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926.0,Black,Male,14,Experienced
SENIOR INSPECTOR,Public Works & Engineering-PWE,56576.0,White,Male,4,Novice
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,58157.0,White,Male,24,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9,Experienced
INSPECTOR,Public Works & Engineering-PWE,51563.0,Black,Female,1,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,6,Novice
CUSTOMER SERVICE SECTION CHIEF,Public Works & Engineering-PWE,52957.0,Black,Female,14,Experienced
EQUIPMENT OPERATOR II,Houston Airport System (HAS),37003.0,Asian,Male,13,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,14,Experienced
ENVIRONMENTAL INVESTIGATOR II,Public Works & Engineering-PWE,40622.0,White,Male,1,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,34,Veteran
FIELD SUPERVISOR,Parks & Recreation,36920.0,Hispanic,Male,12,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,20,Veteran
SENIOR STAFF ANALYST,Public Works & Engineering-PWE,105503.0,White,Female,25,Veteran
STAFF PSYCHOLOGIST,Houston Police Department-HPD,99953.0,White,Female,4,Novice
PROJECT MANAGER,Public Works & Engineering-PWE,63338.0,Hispanic,Male,11,Experienced
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90715.0,White,Female,4,Novice
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,11,Experienced
CUSTOMER SERVICE REPRESENTATIVE II,Public Works & Engineering-PWE,33488.0,Black,Female,8,Novice
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,White,Female,2,Novice
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35318.0,Hispanic,Male,9,Experienced
POLICE SERGEANT,Houston Police Department-HPD,74511.0,White,Male,8,Novice
DEPUTY DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),150416.0,Black,Female,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,32,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,15,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Asian,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,4,Novice
ADMINISTRATIVE ASSISTANT,Health & Human Services,45614.0,Black,Female,25,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,7,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,26,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,14,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,22,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,9,Experienced
DATA ENTRY OPERATOR,Houston Police Department-HPD,29827.0,Black,Female,20,Veteran
LABORER,Houston Airport System (HAS),26125.0,Black,Female,8,Novice
SENIOR INVENTORY MANAGEMENT CLERK,Public Works & Engineering-PWE,29765.0,White,Male,13,Experienced
SEMI-SKILLED LABORER,Parks & Recreation,29910.0,Hispanic,Male,20,Veteran
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Black,Male,2,Novice
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,1,Novice
HUMAN RESOURCES ASSISTANT,Public Works & Engineering-PWE,32406.0,Black,Female,2,Novice
CUSTOMER SERVICE CLERK,Health & Human Services,31387.0,Black,Female,24,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,30,Veteran
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Female,3,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,19,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Hispanic,Male,32,Veteran
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,6,Novice
PLANT OPERATOR TRAINEE,Public Works & Engineering-PWE,31158.0,Hispanic,Male,1,Novice
SENIOR PROJECT MANAGER,Public Works & Engineering-PWE,84500.0,Hispanic,Male,0,Novice
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,41621.0,Black,Male,8,Novice
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,1,Novice
CUSTOMER SERVICE CLERK,Health & Human Services,31803.0,Hispanic,Male,14,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,15,Experienced
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,46010.0,Asian,Male,14,Experienced
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,47362.0,White,Male,1,Novice
DIVISION MANAGER,Public Works & Engineering-PWE,95950.0,Asian,Female,13,Experienced
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Hispanic,Male,18,Experienced
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,3,Novice
SENIOR DISPATCHER,Public Works & Engineering-PWE,29931.0,Black,Female,5,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,31,Veteran
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,34757.0,Black,Female,13,Experienced
ADMINISTRATIVE ASSISTANT,Parks & Recreation,42640.0,Hispanic,Female,10,Experienced
SUPERINTENDENT,Parks & Recreation,57533.0,Black,Female,22,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23,Veteran
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,1,Novice
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,32261.0,Black,Female,24,Veteran
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,4,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,19,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,26,Veteran
HUMAN SERVICE PROGRAM MANAGER,Health & Human Services,63785.0,Black,Female,7,Novice
GARDENER,Parks & Recreation,28205.0,Black,Male,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,21,Veteran
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,1,Novice
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Male,13,Experienced
SUPERVISING ENGINEER,Public Works & Engineering-PWE,98752.0,White,Female,10,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Female,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,4,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,13,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,34653.0,Black,Male,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,3,Novice
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,0,Novice
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,3,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,23,Veteran
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,11,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,21,Veteran
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,36920.0,Hispanic,Male,4,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,24,Veteran
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,6,Novice
SENIOR GIS TECHNICIAN,Public Works & Engineering-PWE,44866.0,Hispanic,Female,7,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,21,Veteran
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,53581.0,Hispanic,Male,23,Veteran
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,1,Novice
ACCOUNTANT ASSOCIATE,Houston Airport System (HAS),39229.0,Black,Female,19,Veteran
SENIOR OFFICE ASSISTANT,Houston Police Department-HPD,29890.0,Black,Female,4,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,25,Veteran
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10,Experienced
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,15,Experienced
REGULATORY INVESTIGATOR,Houston Airport System (HAS),33238.0,Hispanic,Male,19,Veteran
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,34611.0,Asian,Male,23,Veteran
CUSTOMER SERVICE REPRESENTATIVE III,Houston Fire Department (HFD),41267.0,Hispanic,Female,15,Experienced
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,9,Experienced
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,34,Veteran
DWI TECHNICIAN,Houston Police Department-HPD,43035.0,Black,Male,1,Novice
SENIOR OFFICE ASSISTANT,Houston Police Department-HPD,35152.0,Asian,Female,27,Veteran
INSPECTOR,Houston Fire Department (HFD),70181.0,Hispanic,Male,22,Veteran
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,19,Veteran
CAPTAIN,Houston Fire Department (HFD),66523.0,Black,Male,13,Experienced
EXECUTIVE ASSISTANT FIRE CHIEF,Houston Fire Department (HFD),130585.0,Black,Male,26,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,27,Veteran
INSPECTOR,Houston Fire Department (HFD),66523.0,Hispanic,Female,15,Experienced
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,28169.0,White,Male,1,Novice
FIELD SUPERVISOR,Public Works & Engineering-PWE,42182.0,Black,Male,10,Experienced
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,1,Novice
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,White,Male,9,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,18,Experienced
SENIOR BUYER,Public Works & Engineering-PWE,48360.0,Black,Female,31,Veteran
DEPUTY DIRECTOR (EXECUTIVE LEVEL),Houston Police Department-HPD,163228.0,Asian,Male,39,Veteran
MAINTENANCE MECHANIC III,Houston Airport System (HAS),39125.0,Hispanic,Male,0,Novice
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Black,Male,8,Novice
OFFICE SERVICE MANAGER,Houston Police Department-HPD,58409.0,Black,Female,8,Novice
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,13,Experienced
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,10,Experienced
ACCOUNTANT ASSOCIATE,Public Works & Engineering-PWE,37440.0,Black,Female,2,Novice
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,24,Veteran
POLICE OFFICER,Houston Police Department-HPD,52514.0,Hispanic,Male,7,Novice
IT PROJECT MANAGER,Houston Airport System (HAS),96284.0,White,Male,4,Novice
SENIOR STAFF ANALYST,Public Works & Engineering-PWE,90293.0,Hispanic,Male,16,Experienced
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,5,Novice
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,12,Experienced
PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Health & Human Services,57433.0,Black,Female,22,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,8,Novice
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,8,Novice
UTILITY WORKER,Public Works & Engineering-PWE,31408.0,Asian,Male,22,Veteran
RECREATION FACILITY MANAGER,Parks & Recreation,46580.0,Hispanic,Male,23,Veteran
WATER SERVICE INSPECTOR II,Public Works & Engineering-PWE,40581.0,Black,Female,26,Veteran
ADMINISTRATIVE ASSISTANT,Houston Police Department-HPD,45552.0,White,Female,9,Experienced
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,1,Novice
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Female,5,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2,Novice
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,13,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,31,Veteran
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,19,Veteran
CUSTOMER SERVICE REPRESENTATIVE III,Health & Human Services,37835.0,Hispanic,Female,1,Novice
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Black,Male,2,Novice
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,23,Veteran
GENERAL SUPERINTENDENT,Public Works & Engineering-PWE,50960.0,Asian,Male,35,Veteran
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,34008.0,Hispanic,Female,2,Novice
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,13,Experienced
POLICE SERVICE OFFICER,Houston Police Department-HPD,27914.0,Hispanic,Female,3,Novice
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,32198.0,Hispanic,Female,24,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,22,Veteran
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Black,Male,0,Novice
DEPUTY DIRECTOR-FINANCE & ADMINISTRATION,Houston Police Department-HPD,199596.0,White,Male,9,Experienced
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,57304.0,White,Male,13,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,35,Veteran
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Hispanic,Male,1,Novice
ACCOUNT CLERK,Houston Police Department-HPD,35880.0,Asian,Female,35,Veteran
UTILITY WORKER,Public Works & Engineering-PWE,31762.0,Black,Male,16,Experienced
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Hispanic,Male,1,Novice
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Male,2,Novice
EQUIPMENT WORKER,Parks & Recreation,31075.0,Black,Female,17,Experienced
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,22,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2,Novice
CUSTOMER SERVICE REPRESENTATIVE II,Health & Human Services,34320.0,Black,Female,1,Novice
FIELD SUPERVISOR,Parks & Recreation,36920.0,Black,Male,23,Veteran
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,34,Veteran
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,16,Experienced
FIELD SUPERVISOR,Public Works & Engineering-PWE,41288.0,Black,Male,14,Experienced
INSPECTOR,Houston Fire Department (HFD),70181.0,Black,Male,20,Veteran
POLICE SERGEANT,Houston Police Department-HPD,74511.0,Hispanic,Male,8,Novice
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,2,Novice
UTILITY WORKER,Public Works & Engineering-PWE,28995.0,Black,Male,2,Novice
SENIOR INSPECTOR,Public Works & Engineering-PWE,63336.0,White,Male,28,Veteran
DIVISION MANAGER,Houston Airport System (HAS),100873.0,White,Female,11,Experienced
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,22,Veteran
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Asian,Male,23,Veteran
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,Hispanic,Male,24,Veteran
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Female,10,Experienced
EQUIPMENT WORKER,Public Works & Engineering-PWE,31429.0,White,Male,1,Novice
DISTRICT CHIEF,Houston Fire Department (HFD),89590.0,White,Male,23,Veteran
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,White,Male,26,Veteran
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Female,8,Novice
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,20,Veteran
DEPUTY CHIEF,Houston Fire Department (HFD),99480.0,White,Male,36,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,23,Veteran
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Asian,Female,20,Veteran
EQUIPMENT WORKER,Public Works & Engineering-PWE,36837.0,Black,Male,22,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,34,Veteran
ADMINISTRATION MANAGER,Health & Human Services,83174.0,Black,Female,29,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Hispanic,Male,22,Veteran
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Black,Male,3,Novice
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2,Novice
